,date,open,high,low,close,volume
7507,2022-03-04 15:00:00+00:00,292.15,292.81,289.3,289.535,26388.0
7508,2022-03-04 15:15:00+00:00,289.56,290.505,289.295,289.95,20726.0
7509,2022-03-04 15:30:00+00:00,289.97,291.315,289.22,290.045,26597.0
7510,2022-03-04 15:45:00+00:00,289.99,290.04,289.4,289.53,34056.0
7511,2022-03-04 16:00:00+00:00,289.565,289.73,288.435,288.675,28537.0
7512,2022-03-04 16:15:00+00:00,288.615,289.005,287.56,287.905,61799.0
7513,2022-03-04 16:30:00+00:00,287.905,288.725,287.17,288.455,35610.0
7514,2022-03-04 16:45:00+00:00,288.5,289.085,288.32,288.87,21069.0
7515,2022-03-04 17:00:00+00:00,288.93,291.36,288.63,291.11,27621.0
7516,2022-03-04 17:15:00+00:00,291.07,291.92,290.835,291.74,21791.0
7517,2022-03-04 17:30:00+00:00,291.725,291.75,289.55,289.55,30048.0
7518,2022-03-04 17:45:00+00:00,289.545,291.32,289.48,290.795,28251.0
7519,2022-03-04 18:00:00+00:00,290.83,292.5,290.83,291.67,30265.0
7520,2022-03-04 18:15:00+00:00,291.67,291.825,290.075,290.38,28147.0
7521,2022-03-04 18:30:00+00:00,290.375,291.88,290.37,290.43,24318.0
7522,2022-03-04 18:45:00+00:00,290.42,290.43,289.035,289.19,20903.0
7523,2022-03-04 19:00:00+00:00,289.185,289.5,288.52,288.66,22732.0
7524,2022-03-04 19:15:00+00:00,288.72,290.185,288.52,289.41,18148.0
7525,2022-03-04 19:30:00+00:00,289.37,289.96,288.825,289.015,14664.0
7526,2022-03-04 19:45:00+00:00,288.915,289.095,287.77,287.915,33660.0
7527,2022-03-04 20:00:00+00:00,287.94,289.185,287.795,288.21,35227.0
7528,2022-03-04 20:15:00+00:00,288.26,289.32,287.94,288.7,50891.0
7529,2022-03-04 20:30:00+00:00,288.635,289.01,287.695,288.505,42445.0
7530,2022-03-04 20:45:00+00:00,288.435,290.32,287.835,289.82,83424.0
7531,2022-03-04 21:00:00+00:00,289.82,289.82,289.82,289.82,0.0
7532,2022-03-07 14:30:00+00:00,288.68,289.67,286.465,287.015,56135.0
7533,2022-03-07 14:45:00+00:00,286.97,287.3,283.57,283.64,77522.0
7534,2022-03-07 15:00:00+00:00,283.53,283.74,281.7,281.79,62586.0
7535,2022-03-07 15:15:00+00:00,281.8,282.0,280.22,280.26,86273.0
7536,2022-03-07 15:30:00+00:00,280.18,280.46,279.0,279.37,85507.0
7537,2022-03-07 15:45:00+00:00,279.45,280.65,279.24,280.245,49222.0
7538,2022-03-07 16:00:00+00:00,280.235,282.17,280.14,281.13,43399.0
7539,2022-03-07 16:15:00+00:00,281.28,282.97,281.2,282.46,34138.0
7540,2022-03-07 16:30:00+00:00,282.44,282.93,281.12,282.83,37219.0
7541,2022-03-07 16:45:00+00:00,282.87,284.435,282.52,282.68,27062.0
7542,2022-03-07 17:00:00+00:00,282.87,282.945,281.56,282.26,18375.0
7543,2022-03-07 17:15:00+00:00,282.21,282.83,281.41,281.8,18589.0
7544,2022-03-07 17:30:00+00:00,281.815,282.07,280.92,281.055,16181.0
7545,2022-03-07 17:45:00+00:00,281.05,282.18,280.92,281.63,22231.0
7546,2022-03-07 18:00:00+00:00,281.65,282.87,281.615,282.02,29784.0
7547,2022-03-07 18:15:00+00:00,282.02,282.86,281.24,282.62,22092.0
7548,2022-03-07 18:30:00+00:00,282.56,283.875,282.26,283.71,23319.0
7549,2022-03-07 18:45:00+00:00,283.87,284.17,283.115,283.22,11931.0
7550,2022-03-07 19:00:00+00:00,283.225,283.81,282.67,283.715,24851.0
7551,2022-03-07 19:15:00+00:00,283.76,284.34,282.9,282.91,22629.0
7552,2022-03-07 19:30:00+00:00,282.905,283.13,282.09,282.27,23125.0
7553,2022-03-07 19:45:00+00:00,282.24,282.495,281.21,281.71,29472.0
7554,2022-03-07 20:00:00+00:00,281.735,281.99,280.22,280.34,34733.0
7555,2022-03-07 20:15:00+00:00,280.31,281.71,280.14,281.49,34584.0
7556,2022-03-07 20:30:00+00:00,281.41,281.41,280.04,280.85,42439.0
7557,2022-03-07 20:45:00+00:00,280.79,280.8,278.59,278.72,99353.0
7558,2022-03-07 21:00:00+00:00,278.72,278.72,278.72,278.72,0.0
7559,2022-03-08 14:30:00+00:00,278.15,280.26,276.725,279.315,54114.0
7560,2022-03-08 14:45:00+00:00,279.34,279.89,275.175,275.26,29301.0
7561,2022-03-08 15:00:00+00:00,275.18,275.32,270.7,272.245,51388.0
7562,2022-03-08 15:15:00+00:00,272.24,274.98,272.24,273.95,20504.0
7563,2022-03-08 15:30:00+00:00,273.95,274.815,272.59,273.225,21546.0
7564,2022-03-08 15:45:00+00:00,273.205,275.62,272.62,275.165,44635.0
7565,2022-03-08 16:00:00+00:00,275.18,275.57,272.3,272.555,45802.0
7566,2022-03-08 16:15:00+00:00,272.5,272.695,270.94,271.225,36528.0
7567,2022-03-08 16:30:00+00:00,271.205,271.225,270.0,270.58,59302.0
7568,2022-03-08 16:45:00+00:00,270.85,273.875,270.58,272.95,20428.0
7569,2022-03-08 17:00:00+00:00,273.01,279.49,272.975,279.465,30547.0
7570,2022-03-08 17:15:00+00:00,279.535,281.49,278.89,280.06,47294.0
7571,2022-03-08 17:30:00+00:00,280.29,282.47,279.38,282.02,38797.0
7572,2022-03-08 17:45:00+00:00,281.96,283.155,281.145,282.93,56945.0
7573,2022-03-08 18:00:00+00:00,283.04,283.93,282.51,282.59,39775.0
7574,2022-03-08 18:15:00+00:00,282.625,282.975,280.375,280.845,30668.0
7575,2022-03-08 18:30:00+00:00,280.73,280.79,279.165,280.035,30821.0
7576,2022-03-08 18:45:00+00:00,280.06,280.38,277.035,277.05,27457.0
7577,2022-03-08 19:00:00+00:00,277.0,277.9,275.72,277.5,21345.0
7578,2022-03-08 19:15:00+00:00,277.53,279.26,276.735,278.88,12842.0
7579,2022-03-08 19:30:00+00:00,278.75,279.46,277.745,279.135,16866.0
7580,2022-03-08 19:45:00+00:00,279.12,280.455,278.48,278.96,19475.0
7581,2022-03-08 20:00:00+00:00,279.06,280.89,278.435,279.34,30918.0
7582,2022-03-08 20:15:00+00:00,279.435,279.65,277.32,277.41,24500.0
7583,2022-03-08 20:30:00+00:00,277.5,277.74,275.87,276.095,35122.0
7584,2022-03-08 20:45:00+00:00,276.26,277.92,275.53,275.69,48669.0
7585,2022-03-08 21:00:00+00:00,275.69,275.69,275.69,275.69,0.0
7586,2022-03-09 14:30:00+00:00,283.44,284.04,280.8,281.94,74441.0
7587,2022-03-09 14:45:00+00:00,282.02,283.73,281.59,283.73,23273.0
7588,2022-03-09 15:00:00+00:00,283.78,284.735,283.1,283.595,21515.0
7589,2022-03-09 15:15:00+00:00,283.63,285.17,283.025,284.78,23595.0
7590,2022-03-09 15:30:00+00:00,284.97,286.2,284.74,285.41,32660.0
7591,2022-03-09 15:45:00+00:00,285.355,286.93,284.97,286.505,21169.0
7592,2022-03-09 16:00:00+00:00,286.6,286.6,284.98,284.985,15609.0
7593,2022-03-09 16:15:00+00:00,284.99,286.03,284.64,284.695,5550.0
7594,2022-03-09 16:30:00+00:00,284.765,285.68,284.5,285.31,32641.0
7595,2022-03-09 16:45:00+00:00,285.36,285.45,284.58,284.99,13480.0
7596,2022-03-09 17:00:00+00:00,285.045,285.795,284.95,285.075,12967.0
7597,2022-03-09 17:15:00+00:00,284.915,286.315,284.775,286.055,16097.0
7598,2022-03-09 17:30:00+00:00,286.12,287.56,285.96,286.97,19216.0
7599,2022-03-09 17:45:00+00:00,287.01,287.21,286.42,286.84,9751.0
7600,2022-03-09 18:00:00+00:00,286.81,286.875,285.825,286.62,15393.0
7601,2022-03-09 18:15:00+00:00,286.69,286.975,286.19,286.845,9208.0
7602,2022-03-09 18:30:00+00:00,286.86,286.92,286.135,286.2,14444.0
7603,2022-03-09 18:45:00+00:00,286.305,286.805,285.59,286.435,11659.0
7604,2022-03-09 19:00:00+00:00,286.49,287.69,286.34,287.55,20665.0
7605,2022-03-09 19:15:00+00:00,287.56,287.73,286.925,287.635,29284.0
7606,2022-03-09 19:30:00+00:00,287.735,288.47,287.63,287.86,26347.0
7607,2022-03-09 19:45:00+00:00,287.86,288.19,287.38,287.495,21831.0
7608,2022-03-09 20:00:00+00:00,287.515,289.135,287.39,288.765,36204.0
7609,2022-03-09 20:15:00+00:00,288.82,288.99,287.97,288.755,38549.0
7610,2022-03-09 20:30:00+00:00,288.765,289.6,288.29,288.655,60290.0
7611,2022-03-09 20:45:00+00:00,288.64,288.87,287.16,288.19,98191.0
7612,2022-03-09 21:00:00+00:00,288.19,288.19,288.19,288.19,0.0
7613,2022-03-10 14:30:00+00:00,283.005,285.04,282.54,283.56,66627.0
7614,2022-03-10 14:45:00+00:00,283.565,284.88,282.37,284.21,26968.0
7615,2022-03-10 15:00:00+00:00,284.18,284.205,282.65,282.9,24714.0
7616,2022-03-10 15:15:00+00:00,282.78,284.91,282.78,283.45,22294.0
7617,2022-03-10 15:30:00+00:00,283.42,283.94,282.665,283.265,15773.0
7618,2022-03-10 15:45:00+00:00,283.165,283.88,281.86,282.165,25452.0
7619,2022-03-10 16:00:00+00:00,282.07,282.16,281.09,281.95,25899.0
7620,2022-03-10 16:15:00+00:00,281.885,282.17,280.835,281.105,30952.0
7621,2022-03-10 16:30:00+00:00,281.135,281.525,280.64,281.39,36430.0
7622,2022-03-10 16:45:00+00:00,281.37,282.105,280.8,281.6,18886.0
7623,2022-03-10 17:00:00+00:00,281.62,282.05,281.42,281.89,12040.0
7624,2022-03-10 17:15:00+00:00,281.89,282.975,281.58,282.7,23999.0
7625,2022-03-10 17:30:00+00:00,282.62,282.73,281.975,282.205,11919.0
7626,2022-03-10 17:45:00+00:00,282.165,282.9,282.16,282.325,13535.0
7627,2022-03-10 18:00:00+00:00,282.34,283.155,282.25,282.995,9473.0
7628,2022-03-10 18:15:00+00:00,282.96,283.87,282.61,283.815,13387.0
7629,2022-03-10 18:30:00+00:00,283.8,284.205,283.4,283.42,16771.0
7630,2022-03-10 18:45:00+00:00,283.43,285.06,283.43,284.615,19043.0
7631,2022-03-10 19:00:00+00:00,284.65,286.45,284.36,285.275,15235.0
7632,2022-03-10 19:15:00+00:00,285.28,286.01,285.09,285.64,16654.0
7633,2022-03-10 19:30:00+00:00,285.91,286.16,285.085,285.085,17569.0
7634,2022-03-10 19:45:00+00:00,285.115,286.57,285.08,286.18,15592.0
7635,2022-03-10 20:00:00+00:00,286.245,286.305,284.615,285.78,17696.0
7636,2022-03-10 20:15:00+00:00,285.78,286.17,284.955,285.475,15778.0
7637,2022-03-10 20:30:00+00:00,285.46,285.85,284.72,285.16,18483.0
7638,2022-03-10 20:45:00+00:00,285.135,286.57,284.745,285.75,46730.0
7639,2022-03-10 21:00:00+00:00,285.75,285.75,285.75,285.75,0.0
7640,2022-03-11 14:30:00+00:00,288.17,288.56,286.13,286.96,37025.0
7641,2022-03-11 14:45:00+00:00,286.845,288.92,286.43,286.98,32244.0
7642,2022-03-11 15:00:00+00:00,286.815,286.815,285.0,285.44,29652.0
7643,2022-03-11 15:15:00+00:00,285.42,286.31,284.955,285.79,19408.0
7644,2022-03-11 15:30:00+00:00,285.74,287.71,285.52,287.005,18203.0
7645,2022-03-11 15:45:00+00:00,287.02,288.03,286.69,287.33,21345.0
7646,2022-03-11 16:00:00+00:00,287.28,287.29,285.91,285.965,13142.0
7647,2022-03-11 16:15:00+00:00,285.97,286.52,285.385,285.49,18160.0
7648,2022-03-11 16:30:00+00:00,285.47,285.485,283.85,284.58,11691.0
7649,2022-03-11 16:45:00+00:00,284.54,284.915,284.05,284.495,8764.0
7650,2022-03-11 17:00:00+00:00,284.465,284.79,283.85,284.38,24340.0
7651,2022-03-11 17:15:00+00:00,284.405,285.19,283.765,283.765,16820.0
7652,2022-03-11 17:30:00+00:00,283.76,283.92,283.26,283.89,13282.0
7653,2022-03-11 17:45:00+00:00,283.94,284.515,283.795,284.24,12517.0
7654,2022-03-11 18:00:00+00:00,284.24,284.985,284.045,284.385,12854.0
7655,2022-03-11 18:15:00+00:00,284.415,285.925,284.39,285.65,27347.0
7656,2022-03-11 18:30:00+00:00,285.655,285.81,285.12,285.565,10623.0
7657,2022-03-11 18:45:00+00:00,285.585,286.255,284.485,284.5,11026.0
7658,2022-03-11 19:00:00+00:00,284.49,284.85,284.24,284.56,4570.0
7659,2022-03-11 19:15:00+00:00,284.62,285.4,284.36,285.25,10832.0
